211;16;BURSA;Nilüfer;Setbaşı Vergi Dairesi Müdürlüğü
212;16;BURSA;Nilüfer;Uludağ Vergi Dairesi Müdürlüğü
213;16;BURSA;Nilüfer;Yeşil Vergi Dairesi Müdürlüğü
214;16;BURSA;Nilüfer;Nilüfer Vergi Dairesi Müdürlüğü
215;16;BURSA;Nilüfer;Ertuğrulgazi Vergi Dairesi Müdürlüğü
216;16;BURSA;Nilüfer;Gökdere Vergi Dairesi Müdürlüğü
217;16;BURSA;Gemlik;Gemlik Vergi Dairesi Müdürlüğü
218;16;BURSA;İnegöl;İnegöl Vergi Dairesi Müdürlüğü
219;16;BURSA;Karacabey;Karacabey Vergi Dairesi Müdürlüğü
220;16;BURSA;Mustafakemalpaşa;Mustafakemalpaşa Vergi Dairesi Müdürlüğü
221;16;BURSA;Mudanya;Mudanya Vergi Dairesi Müdürlüğü
222;16;BURSA;Orhangazi;Orhangazi Vergi Dairesi Müdürlüğü
223;16;BURSA;İznik;İznik Vergi Dairesi Müdürlüğü
224;16;BURSA;Yenişehir;Yenişehir Vergi Dairesi Müdürlüğü
225;16;BURSA;Keles;Keles Malmüdürlüğü
226;16;BURSA;Orhaneli;Orhaneli Malmüdürlüğü
227;16;BURSA;Harmancık;Harmancık Malmüdürlüğü
228;16;BURSA;Büyükorhan;Büyükorhan Malmüdürlüğü
229;17;ÇANAKKALE;Çanakkale;Çanakkale Vergi Dairesi Müdürlüğü
230;17;ÇANAKKALE;Biga;Biga Vergi Dairesi Müdürlüğü
231;17;ÇANAKKALE;Çan;Çan Vergi Dairesi Müdürlüğü
232;17;ÇANAKKALE;Gelibolu;Gelibolu Vergi Dairesi Müdürlüğü
233;17;ÇANAKKALE;Ayvacık;Ayvacık Malmüdürlüğü
234;17;ÇANAKKALE;Bayramiç;Bayramiç Malmüdürlüğü
235;17;ÇANAKKALE;Bozcaada;Bozcaada Malmüdürlüğü
236;17;ÇANAKKALE;Eceabat;Eceabat Malmüdürlüğü
237;17;ÇANAKKALE;Ezine;Ezine Malmüdürlüğü
238;17;ÇANAKKALE;Gökçeada;Gökçeada Malmüdürlüğü
239;17;ÇANAKKALE;Lapseki;Lapseki Malmüdürlüğü
240;17;ÇANAKKALE;Yenice;Yenice Malmüdürlüğü
241;18;ÇANKIRI;Çankırı;Çankırı Vergi Dairesi Müdürlüğü
242;18;ÇANKIRI;Çerkeş;Çerkeş Malmüdürlüğü
243;18;ÇANKIRI;EldiVan;EldiVan Malmüdürlüğü
244;18;ÇANKIRI;Ilgaz;Ilgaz Malmüdürlüğü
245;18;ÇANKIRI;Kurşunlu;Kurşunlu Malmüdürlüğü
246;18;ÇANKIRI;Orta;Orta Malmüdürlüğü
247;18;ÇANKIRI;Şabanözü;Şabanözü Malmüdürlüğü
248;18;ÇANKIRI;Yapraklı;Yapraklı Malmüdürlüğü
249;18;ÇANKIRI;Atkaracalar;Atkaracalar Malmüdürlüğü
250;18;ÇANKIRI;Kızılırmak;Kızılırmak Malmüdürlüğü
251;18;ÇANKIRI;Bayramören;Bayramören Malmüdürlüğü
252;18;ÇANKIRI;Korgun;Korgun Malmüdürlüğü
253;19;ÇORUM;Çorum;Çorum Vergi Dairesi Müdürlüğü
254;19;ÇORUM;Sungurlu;Sungurlu Vergi Dairesi Müdürlüğü
255;19;ÇORUM;Alaca;Alaca Malmüdürlüğü
256;19;ÇORUM;Bayat;Bayat Malmüdürlüğü
257;19;ÇORUM;İskilip;İskilip Malmüdürlüğü
258;19;ÇORUM;Kargı;Kargı Malmüdürlüğü
